City,State,MGrid
"""FRITZ CREEK",AK,BO49ij
"""HALIBUT COVE",AK,BO49ij
"""KACHEMAK",AK,BO49ij
"""NANWALEK",AK,BO49ij
"""PORT GRAHAM",AK,BO49ij
"""HOONAH",AK,CO28gb
"""HOOPER BAY",AK,AP71do
"""HOPE",AK,BP50hu
"""HUGHES",AK,BP26vb
"""HUSLIA",AK,BP15tq
"""HYDABURG",AK,CO35oe
"""HYDER",AK,CO45xx
"""ILIAMNA",AK,BO29tm
"""KOKHANOK",AK,BO29tm
"""KOKHONAK",AK,BO29tm
"""PEDRO BAY",AK,BO29xu
"""ILIAMNA",AK,BO29xu
"""JUNEAU",AK,CO28on
"""JUNEAU",AK,CO28sh
"""JUNEAU",AK,CO28qi
"""JUNEAU",AK,CO28wl
"""JUNEAU",AK,CO28tg
"""STATE OF ALASKA",AK,CO28tg
"""AUKE BAY",AK,CO28sh
"""DOUGLAS",AK,CO28tf
"""JUNEAU",AK,CO28tf
"""JUNEAU",AK,CO28hk
"""KAKE",AK,CO26vs
"""KAKTOVIK",AK,BQ80ec
"""KALSKAG",AK,AP91vo
"""KALTAG",AK,BP03dt
"""KARLUK",AK,BO27uo
"""KASIGLUK",AK,AP80ru
"""KASILOF",AK,BP40ig
"""KENAI",AK,BP40np
"""NIKISKI",AK,BP40np
"""NIKISKI",AK,BP40pv
"""KENAI",AK,BP40pv
"""NIKISHKA",AK,BP40pv
"""KETCHIKAN",AK,CO45fo
"""EDNA BAY",AK,CO45fo
"""KASAAN",AK,CO45fo
"""NAUKATI BAY",AK,CO45fo
"""SAXMAN",AK,CO45fo
"""MEYERS CHUCK",AK,CO35vq
"""KETCHIKAN",AK,CO35vq
"""COFFMAN COVE",AK,CO35px
"""KETCHIKAN",AK,CO35px
"""THORNE BAY",AK,CO35tn
"""KETCHIKAN",AK,CO35tn
"""KETCHIKAN",AK,CO45ei
"""EDNA BAY",AK,CO45ei
"""KASAAN",AK,CO45ei
"""KIANA",AK,AP96sx
"""KING COVE",AK,AO85ub
"""PORT HEIDEN",AK,BO07uc
"""KING SALMON",AK,BO07uc
"""KING SALMON",AK,BO18rs
"""IGIUGIG",AK,BO18rs
